n intercept age male white school income south outmig inmig empth toler selfless altru
38 1 39 1 1 8 67.5 0 0 0 28 22 12 4
39 1 86 0 1 8 27.5 0 0 0 12 0 9 1
40 1 49 1 0 14 55 0 0 0 20 23 8 3
41 1 52 0 1 13 37.5 0 1 0 14 10 9 5
42 1 33 0 1 16 82.5 0 0 0 16 7 10 2
43 1 37 1 1 17 82.5 0 0 0 16 19 12 2
44 1 68 1 1 11 67.5 0 0 0 18 13 10 3
45 1 56 1 1 18 110 0 0 0 17 14 10 1
46 1 57 0 1 18 110 0 0 0 28 9 13 3
47 1 59 0 1 12 55 0 0 0 21 8 13 3
48 1 40 1 1 12 67.5 0 0 0 14 8 7 1
49 1 46 1 1 16 110 0 0 0 23 11 8 2
50 1 23 1 1 9 82.5 0 0 0 22 19 9 4
51 1 52 0 0 16 27.5 0 0 0 27 6 11 3
52 1 51 0 1 12 0.5 0 0 0 28 6 14 2
53 1 21 1 1 12 82.5 0 0 0 25 14 7 2
54 1 61 1 1 19 110 0 0 0 20 24 8 4
55 1 45 0 1 16 37.5 0 0 0 19 9 8 2
56 1 32 0 0 12 67.5 0 0 0 19 10 12 3
57 1 31 0 1 18 100 0 0 0 23 7 13 5
58 1 33 0 0 16 100 0 0 0 28 13 13 3
59 1 51 0 1 18 67.5 0 0 0 28 11 13 3
60 1 25 1 1 15 27.5 0 0 0 14 10 7 1
61 1 28 0 1 19 100 0 0 0 27 7 8 5
62 1 37 1 1 14 67.5 0 0 0 21 19 13 4
63 1 29 0 1 13 67.5 0 0 0 22 10 8 4
64 1 55 1 1 14 100 0 0 0 18 7 10 2
65 1 34 1 0 16 4.5 0 0 0 25 18 11 3
66 1 34 0 0 14 55 0 0 0 17 3 4 3
67 1 26 0 1 19 37.5 0 0 0 23 12 9 1
68 1 44 1 1 16 67.5 0 0 0 16 25 10 2
69 1 35 1 1 14 45 0 0 0 20 21 12 5
70 1 62 1 1 14 110 0 0 0 18 22 12 0
71 1 70 1 1 14 82.5 0 0 0 15 19 9 1
72 1 69 0 1 12 27.5 0 0 0 22 19 12 3
73 1 70 0 1 13 55 0 0 0 19 16 10 3
74 1 56 1 1 14 55 0 0 0 17 14 9 0
75 1 56 0 1 15 82.5 0 0 0 19 8 7 1
76 1 27 1 1 14 37.5 0 0 0 18 11 6 3
77 1 36 0 0 16 110 0 0 0 24 16 11 3
78 1 27 0 1 12 37.5 0 0 0 26 20 11 4
79 1 36 0 0 12 55 0 0 0 27 12 8 4
80 1 41 0 0 13 23.75 0 0 0 14 15 10 2
81 1 20 1 0 15 55 0 0 0 17 17 6 3
82 1 56 1 0 14 45 0 0 0 22 8 8 1
83 1 38 0 1 11 27.5 0 0 0 16 19 12 4
84 1 21 1 1 15 2 0 0 0 18 16 11 3
85 1 56 0 1 16 100 0 0 0 17 10 6 2
86 1 61 0 0 17 100 0 0 0 17 17 10 4
87 1 20 1 1 14 55 0 0 0 16 22 8 1
88 1 28 0 1 13 32.5 0 0 0 19 13 8 3
89 1 29 1 0 16 55 0 0 0 11 8 6 1
90 1 25 0 0 16 26.25 0 1 0 22 14 10 2
91 1 37 1 1 14 67.5 0 0 0 21 17 10 3
92 1 48 1 1 14 67.5 0 0 0 26 23 10 4
93 1 43 0 1 6 26.25 0 0 0 12 2 8 4
94 1 61 0 1 14 82.5 0 0 0 24 14 9 3
95 1 43 0 0 10 5.5 0 0 0 15 7 9 5
96 1 64 0 1 9 67.5 0 0 0 24 23 10 2
97 1 39 0 1 12 100 0 1 0 27 18 15 4
98 1 84 0 1 12 67.5 0 0 0 25 12 10 3
99 1 39 0 1 16 28.75 0 0 0 23 17 14 1
100 1 22 1 0 16 32.5 0 0 0 19 18 9 2
101 1 45 0 1 16 45 0 0 0 15 7 7 4
102 1 25 0 0 12 55 0 0 0 14 6 8 3
103 1 22 0 1 12 28.75 0 0 0 19 10 8 3
104 1 43 0 1 13 37.5 0 0 0 26 17 15 3
105 1 56 0 1 17 110 0 0 0 28 17 9 4
106 1 41 0 1 14 45 0 0 0 24 3 12 4
107 1 57 0 1 13 110 0 0 0 25 14 13 3
108 1 76 0 1 12 45 0 0 0 28 19 11 5
109 1 66 0 1 12 82.5 0 0 0 25 12 10 0
110 1 67 0 1 13 37.5 0 0 0 25 12 11 3
111 1 70 0 1 12 27.5 0 0 0 24 11 10 5
112 1 77 1 1 14 45 0 0 0 22 20 11 3
113 1 46 0 0 12 32.5 0 0 0 17 2 9 1
114 1 36 0 0 15 110 0 0 0 28 13 9 2
115 1 53 0 1 15 110 0 1 0 20 16 10 3
116 1 67 0 1 12 37.5 0 0 0 19 15 13 2
117 1 22 0 0 15 55 0 0 0 20 12 12 2
118 1 63 0 1 14 55 0 0 0 25 9 13 3
119 1 62 0 1 11 110 0 0 0 26 22 10 4
120 1 36 1 0 20 100 0 0 0 20 13 8 1
121 1 34 0 1 12 55 0 0 0 26 9 10 4
122 1 40 0 0 18 110 0 1 0 19 20 12 1
123 1 26 1 1 16 67.5 0 0 0 20 13 9 2
124 1 31 0 0 15 37.5 0 0 0 24 12 12 3
125 1 36 0 0 12 27.5 0 0 0 14 9 9 3
126 1 37 0 0 13 37.5 0 0 0 24 16 9 3
127 1 27 0 0 12 37.5 0 0 0 26 24 9 4
128 1 74 1 0 16 55 0 0 0 20 5 8 2
129 1 47 0 1 13 67.5 0 0 0 20 13 10 3
130 1 36 0 1 13 110 0 0 0 28 20 8 4
131 1 41 1 1 14 110 0 0 0 23 21 8 1
132 1 35 0 1 13 67.5 0 0 0 23 16 11 3
133 1 81 0 1 9 32.5 0 0 0 11 2 10 3
134 1 55 0 1 16 27.5 0 0 0 27 16 13 2
135 1 76 0 1 8 23.75 0 0 0 22 6 8 0
136 1 46 1 0 15 67.5 0 0 0 18 9 10 1
137 1 30 0 0 16 67.5 0 0 0 16 13 9 1
138 1 38 0 1 16 110 0 0 0 23 9 9 4
139 1 49 0 1 12 110 0 0 0 21 15 12 4
140 1 53 1 1 13 110 0 0 0 21 19 10 4
141 1 46 1 1 2 67.5 0 0 0 26 22 8 4
142 1 61 0 1 20 100 0 0 0 18 18 10 3
143 1 29 1 0 9 100 0 0 0 16 10 6 1
144 1 38 1 1 11 6.5 0 0 0 17 5 10 4
145 1 55 0 1 14 110 0 0 0 25 18 11 3
146 1 39 1 1 12 110 0 0 0 20 12 10 3
147 1 22 1 1 12 110 0 0 0 17 18 10 3
148 1 32 0 1 14 82.5 0 0 0 14 12 9 3
149 1 49 1 1 16 82.5 0 0 0 17 20 10 2
150 1 53 1 1 15 45 0 0 0 27 22 11 5
151 1 60 0 1 14 55 0 0 0 28 11 14 0
152 1 55 0 0 13 27.5 0 0 0 24 24 10 5
153 1 41 0 0 12 27.5 0 0 0 26 13 14 4
154 1 36 0 1 16 82.5 0 0 0 24 11 15 1
155 1 21 0 0 12 55 0 0 0 24 22 7 4
156 1 44 1 0 18 67.5 0 0 0 23 18 9 4
157 1 68 0 1 12 45 0 0 0 28 24 14 5
158 1 66 1 1 12 110 0 0 0 28 15 9 4
159 1 82 1 1 16 32.5 0 0 0 18 10 10 2
160 1 52 1 1 18 110 0 0 0 14 19 9 1
161 1 47 1 1 15 45 0 0 0 19 26 11 4
162 1 34 0 1 12 100 0 0 0 18 6 7 3
163 1 50 1 1 20 110 0 0 0 25 41 11 2
164 1 44 0 1 18 110 0 0 0 28 24 13 5
165 1 59 1 1 12 67.5 0 0 0 19 8 10 2
166 1 59 0 1 13 55 0 0 0 28 8 11 4
167 1 22 0 0 10 27.5 1 0 0 22 24 9 3
168 1 30 0 1 16 25 1 0 0 27 17 12 3
169 1 45 0 1 12 25 0 0 1 18 10 10 3
170 1 89 0 1 12 37.5 0 0 1 28 3 9 1
171 1 35 1 1 16 37.5 1 0 0 15 23 8 5
172 1 45 1 1 18 110 0 0 1 25 21 11 3
173 1 28 0 1 16 32.5 0 0 1 21 15 10 3
174 1 45 0 0 16 45 0 0 1 26 22 8 5
175 1 67 1 1 17 67.5 0 0 1 19 24 9 3
176 1 43 0 1 8 0.5 1 0 0 28 13 13 4
177 1 36 0 1 14 26.25 0 0 1 28 23 13 4
178 1 61 1 1 14 110 1 0 0 28 20 10 3
179 1 44 1 1 14 45 1 0 0 21 21 12 2
180 1 80 0 1 12 9 0 0 1 24 6 12 2
181 1 33 1 1 17 45 0 0 1 22 11 8 5
182 1 26 0 0 12 23.75 1 0 0 21 16 8 3
183 1 39 0 0 14 37.5 1 0 0 19 8 11 1
184 1 44 0 0 11 6.5 1 0 0 22 24 11 4
185 1 21 1 0 12 6.5 1 0 0 14 4 10 2
186 1 45 0 1 14 67.5 0 0 0 22 10 12 4
187 1 43 0 1 14 37.5 0 0 0 22 8 12 1
188 1 23 1 1 14 45 0 0 0 12 13 9 2
189 1 57 0 1 15 25 0 0 0 28 18 8 5
190 1 75 0 1 12 23.75 0 0 0 17 11 8 2
191 1 20 0 0 14 32.5 0 0 0 16 8 7 5
192 1 19 0 0 13 55 0 0 0 25 15 9 4
193 1 64 0 0 14 28.75 0 0 0 21 9 10 5
194 1 42 0 1 15 67.5 0 0 0 15 14 12 3
195 1 19 1 1 11 25 0 0 0 17 14 7 2
196 1 62 0 1 14 110 0 0 0 19 10 8 1
197 1 49 1 1 16 110 0 0 0 28 18 12 5
198 1 27 1 1 12 32.5 0 1 0 17 9 8 5
199 1 46 0 1 12 67.5 1 0 0 28 10 15 2
200 1 40 1 1 16 67.5 0 0 1 22 17 11 3
201 1 33 0 1 17 82.5 1 0 0 23 16 14 5
202 1 30 1 1 15 67.5 1 0 0 22 17 10 5
203 1 57 0 1 18 55 1 0 0 26 10 11 4
204 1 44 1 0 13 55 1 0 0 22 20 8 3
205 1 31 1 0 14 82.5 1 0 0 12 15 8 2
206 1 28 1 1 10 67.5 1 0 0 13 15 8 4
207 1 29 1 1 16 82.5 1 0 0 18 16 11 2
208 1 28 1 1 16 110 0 0 1 28 21 11 5
209 1 45 1 1 12 27.5 1 0 0 13 9 5 3
210 1 63 1 1 10 110 1 0 0 16 15 13 4
211 1 32 1 1 11 0.5 1 0 0 17 6 8 3
212 1 62 1 1 14 23.75 1 0 0 14 5 7 3
213 1 30 1 1 14 45 1 0 0 16 12 11 2
214 1 59 1 0 18 67.5 1 0 0 26 9 11 3
215 1 23 1 1 14 55 1 0 0 20 7 8 2
216 1 38 1 1 6 32.5 0 0 1 27 15 12 4
217 1 33 1 0 12 22.5 1 0 0 20 20 13 4
218 1 40 0 1 12 67.5 1 0 0 27 13 10 2
219 1 34 0 1 18 110 0 0 1 28 15 10 3
220 1 28 0 1 16 110 0 0 1 22 13 12 2
221 1 48 1 0 14 32.5 0 0 1 15 16 8 5
222 1 41 0 0 12 3.5 1 0 0 20 23 13 4
223 1 37 1 0 15 45 1 0 0 26 21 12 3
224 1 28 0 0 13 37.5 1 0 0 21 9 10 4
225 1 64 0 1 18 22.5 1 0 0 21 20 13 3
226 1 32 1 1 15 45 1 0 0 17 25 8 4
227 1 40 1 1 16 100 1 0 0 25 20 14 4
228 1 28 1 1 16 45 0 0 1 27 23 13 4
229 1 28 1 1 19 110 0 0 1 21 28 10 2
230 1 50 1 1 20 110 0 0 1 25 14 12 2
231 1 39 1 0 18 25 0 0 1 19 16 5 2
232 1 40 1 0 11 27.5 1 0 0 19 14 6 3
233 1 29 1 0 13 45 1 0 0 13 5 11 4
234 1 45 0 0 16 100 1 0 0 22 11 10 4
235 1 66 1 1 13 3.5 0 0 1 18 20 10 3
236 1 43 0 1 12 55 0 0 1 19 11 13 3
237 1 36 0 0 13 32.5 1 0 0 18 9 12 3
238 1 41 0 0 12 25 1 0 0 13 16 13 5
239 1 51 0 0 12 32.5 1 0 0 22 4 5 4
240 1 46 1 1 17 110 1 0 0 22 24 11 4
241 1 46 1 1 12 67.5 0 0 1 22 19 11 4
242 1 25 1 1 16 67.5 1 0 0 23 36 14 5
243 1 59 0 1 15 32.5 0 0 1 23 14 8 3
244 1 52 1 1 16 110 1 0 0 24 14 10 3
245 1 34 0 1 19 110 0 0 1 23 16 10 3
246 1 39 1 0 9 28.75 0 0 1 19 1 14 4
247 1 26 1 1 12 55 1 0 0 16 17 7 4
248 1 47 1 1 14 67.5 1 0 0 22 20 12 4
249 1 41 0 1 12 6.5 1 0 0 21 7 10 3
250 1 22 1 1 15 4.5 1 0 0 20 19 7 4
251 1 31 1 0 14 37.5 1 0 0 28 16 11 4
252 1 20 1 0 12 27.5 1 0 0 18 15 10 2
253 1 53 0 1 16 110 0 0 1 18 8 10 2
254 1 47 0 0 13 82.5 0 0 0 25 18 14 4
255 1 25 0 0 12 82.5 0 0 0 28 10 11 1
256 1 39 1 0 14 37.5 0 0 0 23 11 10 3
257 1 32 0 1 17 45 0 0 0 20 9 12 3
258 1 41 0 0 17 110 0 1 0 19 19 13 4
259 1 54 1 1 18 100 0 0 0 21 13 12 1
260 1 85 0 1 11 7.5 0 0 0 23 2 10 4
261 1 63 0 1 18 110 0 0 0 16 7 10 1
262 1 30 1 0 16 37.5 1 0 0 18 14 6 2
263 1 24 1 1 14 26.25 0 0 1 16 20 9 2
264 1 30 1 0 12 27.5 0 0 1 22 22 10 5
265 1 54 0 0 14 37.5 0 0 1 19 20 10 3
266 1 32 0 0 14 67.5 1 0 0 28 13 14 3
267 1 49 1 0 16 37.5 0 0 1 12 10 13 2
268 1 25 0 0 13 45 1 0 0 22 13 12 2
269 1 53 1 0 16 45 0 0 1 16 14 13 4
270 1 29 1 1 13 55 1 0 0 16 22 11 3
271 1 66 0 1 14 45 1 0 0 22 3 14 3
272 1 85 1 1 16 100 0 0 1 20 23 11 3
273 1 58 0 1 20 82.5 0 0 1 28 22 12 3
274 1 34 0 1 16 110 1 0 0 28 23 12 5
275 1 36 1 1 15 55 1 0 0 17 23 11 4
276 1 29 1 0 12 28.75 0 0 0 24 9 13 3
277 1 22 0 1 14 67.5 0 0 0 24 19 11 4
278 1 20 0 1 13 27.5 0 0 0 24 10 10 3
279 1 20 0 1 13 22.5 0 0 0 16 3 10 4
280 1 42 1 1 11 27.5 0 0 0 20 4 10 2
281 1 55 0 1 14 23.75 0 0 0 21 9 10 3
282 1 35 1 1 16 37.5 0 0 0 20 11 10 4
283 1 58 1 1 15 82.5 0 0 0 15 20 9 1
284 1 46 1 1 18 100 0 0 0 24 18 11 3
285 1 89 1 1 14 27.5 0 1 0 21 10 12 4
286 1 70 0 1 12 27.5 0 0 0 19 4 10 4
287 1 35 0 0 12 37.5 0 0 0 26 5 9 1
288 1 63 0 1 14 55 0 0 0 19 15 10 3
289 1 21 1 0 14 2 0 0 0 17 11 9 4
290 1 67 0 1 14 45 0 0 1 19 23 10 3
291 1 52 0 1 15 45 0 0 1 27 7 9 3
292 1 60 0 1 16 27.5 1 0 0 25 18 11 3
293 1 45 0 0 14 82.5 1 0 0 28 16 12 4
294 1 57 0 1 12 28.75 1 0 0 15 15 7 4
295 1 44 0 1 16 45 0 0 0 13 16 8 3
296 1 31 1 0 16 67.5 0 0 0 16 20 7 5
297 1 42 1 1 18 110 0 0 0 16 14 12 3
298 1 60 1 1 16 110 0 0 0 18 14 9 1
299 1 43 0 1 18 110 0 0 0 21 14 13 2
300 1 33 0 1 20 110 0 0 0 23 12 11 2
301 1 44 1 1 16 45 0 0 0 21 15 12 4
302 1 27 0 1 18 45 0 0 0 25 19 11 3
303 1 34 1 1 16 55 0 0 0 21 8 9 2
304 1 34 1 1 14 82.5 0 0 0 19 14 8 3
305 1 41 0 1 12 32.5 0 0 0 28 12 15 4
306 1 29 1 1 14 55 0 0 0 23 20 12 3
307 1 45 0 1 17 110 0 0 0 28 20 16 5
308 1 52 1 1 20 100 0 0 0 19 16 10 2
309 1 65 1 1 19 45 0 0 0 22 8 11 2
310 1 60 1 1 12 27.5 1 0 0 15 11 9 3
311 1 28 1 1 9 27.5 1 0 0 18 30 12 4
312 1 44 1 1 10 27.5 1 0 0 14 7 7 3
313 1 34 0 1 12 67.5 1 0 0 23 10 11 1
314 1 61 1 1 8 45 1 0 0 28 27 14 4
315 1 43 1 1 13 27.5 1 0 0 21 19 12 2
316 1 31 0 1 18 45 1 0 0 19 12 9 3
317 1 26 0 1 16 45 0 0 1 24 17 13 4
318 1 24 1 1 12 32.5 1 0 0 14 10 10 3
319 1 39 1 1 12 25 1 0 0 28 19 11 1
320 1 29 1 1 12 55 1 0 0 14 8 8 1
321 1 39 1 0 12 9 1 0 0 22 9 8 1
322 1 25 1 1 16 27.5 0 0 1 17 18 10 4
323 1 59 1 1 12 55 1 0 0 19 12 9 2
324 1 41 0 1 11 32.5 1 0 0 26 10 12 3
325 1 22 0 0 13 55 1 0 0 21 10 10 3
326 1 55 0 0 12 27.5 0 1 0 26 18 9 4
327 1 63 0 0 13 27.5 0 0 0 25 16 13 3
328 1 25 0 0 13 37.5 0 0 0 27 6 11 4
329 1 34 0 0 11 27.5 0 0 0 13 3 8 1
330 1 58 1 1 16 67.5 0 0 0 18 25 9 2
331 1 56 1 1 20 110 0 0 0 19 26 11 2
332 1 87 0 1 10 28.75 0 0 1 22 17 10 0
333 1 59 0 1 12 37.5 1 0 0 20 15 11 4
334 1 21 0 1 14 27.5 1 0 0 16 21 9 4
335 1 30 0 1 10 6.5 1 0 0 19 12 13 2
336 1 56 1 1 16 23.75 1 0 0 18 9 10 2
337 1 40 0 0 13 37.5 1 0 0 28 9 14 4
338 1 61 1 1 4 6.5 1 0 0 27 4 9 2
339 1 42 0 0 13 100 1 0 0 27 17 13 4
340 1 58 1 1 17 110 0 0 1 19 24 11 3
341 1 57 0 0 0 6.5 0 0 0 16 8 7 3
342 1 65 1 1 14 37.5 0 1 0 23 8 9 2
343 1 57 1 0 14 22.5 0 0 0 19 7 6 3
344 1 44 0 0 16 100 0 0 0 27 9 13 2
345 1 36 1 0 14 45 0 1 0 17 11 10 2
346 1 54 0 0 14 27.5 0 0 0 18 13 11 3
347 1 57 0 1 12 67.5 0 0 0 15 12 6 2
348 1 21 1 0 12 110 0 0 0 24 22 7 5
349 1 45 0 1 19 110 0 1 0 22 10 13 3
350 1 47 1 1 19 110 0 0 0 18 29 12 3
351 1 63 1 1 20 100 0 0 0 28 21 11 4
352 1 51 0 1 16 110 0 0 0 20 29 13 4
353 1 40 1 1 14 37.5 0 1 0 26 12 11 3
354 1 20 1 1 13 110 0 0 0 15 11 6 2
355 1 44 1 1 12 45 0 0 0 19 8 12 4
356 1 37 1 1 16 110 0 0 0 15 9 9 3
357 1 31 0 1 15 55 0 0 0 13 9 7 1
358 1 35 0 0 12 45 0 0 0 16 12 8 3
359 1 24 0 1 12 23.75 0 0 0 21 16 9 4
360 1 55 0 1 12 55 0 0 0 14 7 11 3
361 1 35 1 1 14 0.5 0 0 0 19 32 10 3
362 1 28 1 1 13 37.5 0 0 0 17 15 9 3
363 1 56 1 1 15 100 0 0 0 22 28 12 3
364 1 43 1 1 16 45 0 0 0 21 13 10 3
365 1 25 0 1 14 27.5 0 0 0 15 17 8 5
366 1 40 1 1 16 82.5 0 0 0 19 36 10 4
367 1 34 1 1 11 25 0 0 0 17 8 8 1
368 1 26 1 0 14 27.5 0 0 0 16 7 8 2
369 1 55 0 1 11 25 0 0 0 16 14 9 4
370 1 34 1 1 12 45 0 0 0 14 27 11 3
371 1 37 0 1 16 67.5 0 0 0 20 16 9 3
372 1 40 0 1 12 27.5 0 0 0 23 9 10 3
373 1 48 1 1 16 82.5 0 0 0 22 23 9 3
374 1 52 0 1 13 45 0 0 0 28 22 16 5
375 1 51 0 1 14 100 0 0 0 20 18 12 2
376 1 39 0 1 17 110 0 0 0 22 14 11 3
377 1 47 0 1 20 32.5 0 0 0 11 25 12 4
378 1 74 1 1 20 110 0 0 0 22 20 8 1
379 1 66 0 1 15 110 0 0 0 24 9 12 4
380 1 35 1 1 17 55 0 0 0 16 15 8 1
381 1 45 0 1 16 82.5 0 0 0 24 11 15 2
382 1 47 1 1 12 110 0 0 0 28 20 12 4
383 1 47 0 0 11 25 0 0 0 28 15 16 4
384 1 19 0 0 13 37.5 0 0 0 22 23 8 5
385 1 29 1 0 20 45 0 0 0 16 22 10 2
386 1 49 1 1 16 67.5 0 0 0 17 14 9 2
387 1 33 1 1 16 45 0 0 0 27 18 12 2
388 1 88 1 1 12 22.5 0 0 0 15 9 11 3
389 1 37 1 1 12 27.5 0 0 0 19 22 8 4
390 1 25 1 1 16 82.5 0 0 0 17 9 11 4
391 1 39 0 1 14 82.5 0 0 0 26 12 10 4
392 1 44 0 1 15 45 0 0 0 28 18 10 4
393 1 36 1 1 12 27.5 0 0 0 14 6 6 2
394 1 48 1 1 12 22.5 0 0 0 23 12 11 4
395 1 56 0 1 12 28.75 0 0 0 8 17 10 3
396 1 34 1 1 18 37.5 0 0 0 28 9 11 5
397 1 25 1 1 12 67.5 0 0 0 14 15 8 3
398 1 64 0 1 13 32.5 0 0 0 17 13 13 3
399 1 52 1 1 16 82.5 0 0 0 22 11 7 3
400 1 48 0 1 15 45 0 0 0 19 7 8 3
401 1 27 0 1 20 27.5 0 0 0 19 19 12 2
402 1 33 0 1 20 32.5 0 0 0 22 9 9 3
403 1 68 0 1 9 7.5 0 0 0 19 20 9 2
404 1 21 0 1 15 4.5 0 0 0 25 9 12 3
405 1 20 1 0 14 0.5 0 0 0 8 9 10 3
406 1 27 0 1 17 22.5 0 0 0 17 14 11 3
407 1 72 0 1 13 27.5 0 0 0 28 22 12 3
408 1 34 1 1 18 45 0 0 0 24 22 14 4
409 1 69 0 1 12 32.5 0 0 0 27 12 9 3
410 1 59 1 1 12 27.5 0 0 0 19 14 11 3
411 1 82 0 1 18 27.5 0 0 0 20 13 13 3
412 1 60 0 1 12 37.5 0 0 0 19 9 8 2
413 1 81 0 1 18 28.75 0 0 0 19 17 13 3
414 1 39 0 1 15 55 0 0 0 24 9 8 5
415 1 51 0 1 14 45 0 0 0 19 14 13 3
416 1 24 1 1 14 32.5 0 0 0 20 9 11 1
417 1 50 0 1 16 82.5 0 0 0 17 11 10 3
418 1 35 0 1 16 67.5 0 0 0 21 12 10 2
419 1 53 0 1 12 27.5 0 0 0 16 21 8 3
420 1 41 0 1 12 55 0 0 0 19 10 11 3
421 1 33 0 0 14 67.5 0 1 0 16 7 6 1
422 1 50 1 1 18 110 0 0 0 21 9 10 4
423 1 32 1 0 16 26.25 0 0 0 14 6 11 2
424 1 23 1 1 14 55 0 0 0 19 19 9 1
425 1 39 0 1 12 27.5 0 0 0 22 9 13 5
426 1 49 0 1 16 82.5 0 0 0 22 24 10 5
427 1 42 1 1 12 45 0 0 0 13 16 5 3
428 1 41 0 1 10 55 0 0 0 17 12 9 3
429 1 25 1 1 18 100 0 0 0 17 17 9 3
430 1 31 1 1 14 32.5 0 0 0 24 23 10 4
431 1 75 1 1 11 22.5 0 0 0 17 21 8 3
432 1 27 1 1 14 28.75 0 0 0 21 15 12 3
433 1 36 0 1 15 110 0 0 0 28 17 14 5
434 1 39 1 1 16 82.5 0 0 0 21 23 10 3
435 1 82 0 1 16 67.5 0 0 0 19 13 12 2
436 1 47 0 1 12 67.5 0 0 0 25 19 10 3
437 1 32 1 1 14 37.5 0 0 0 28 14 8 4
438 1 34 0 1 12 55 0 0 0 23 24 9 4
439 1 36 1 0 13 67.5 0 0 0 25 18 11 2
440 1 74 1 1 16 27.5 0 0 0 19 6 9 1
441 1 41 0 1 12 55 0 0 0 26 13 11 3
442 1 46 0 1 11 27.5 0 0 0 24 10 13 3
443 1 60 0 1 14 32.5 0 0 0 23 14 8 4
444 1 78 0 1 12 26.25 0 0 0 24 14 12 3
445 1 42 1 1 18 67.5 0 1 0 18 15 10 3
446 1 49 0 1 15 100 0 0 0 21 6 6 3
447 1 79 0 1 11 28.75 0 0 0 23 9 8 2
448 1 85 1 1 8 27.5 0 0 0 21 3 13 3
449 1 37 0 1 15 55 0 0 0 21 11 8 5
450 1 43 0 1 13 22.5 0 0 0 24 11 11 4
451 1 52 1 1 14 37.5 0 0 0 26 16 13 3
452 1 43 0 1 12 27.5 0 0 0 12 22 10 4
453 1 38 1 1 14 100 0 1 0 19 15 8 3
454 1 18 0 1 13 28.75 0 0 0 21 12 11 3
455 1 36 1 1 14 32.5 0 0 0 22 18 12 3
456 1 56 0 1 12 23.75 0 0 0 18 14 11 3
457 1 38 0 1 13 37.5 0 0 0 24 15 12 3
458 1 18 1 1 11 4.5 0 0 0 19 16 9 3
459 1 26 0 1 14 28.75 0 0 0 18 5 7 3
460 1 29 0 1 13 37.5 0 0 0 22 7 10 4
461 1 71 0 1 12 22.5 0 0 0 28 15 11 2
462 1 31 0 1 12 2 0 0 0 25 4 12 3
463 1 20 0 1 12 37.5 0 0 0 25 11 10 5
464 1 38 0 1 12 55 0 0 0 22 25 10 4
465 1 33 0 1 18 67.5 0 0 0 21 18 12 4
466 1 23 0 1 16 2 0 0 0 28 19 15 5
467 1 24 0 1 14 27.5 0 1 0 26 24 10 3
468 1 34 0 1 11 55 0 0 0 19 24 7 3
469 1 36 1 1 13 67.5 0 0 0 19 2 9 1
470 1 46 1 1 13 32.5 0 0 0 14 5 6 1
471 1 26 0 1 12 22.5 0 0 0 20 5 10 4
472 1 37 1 1 14 45 0 0 0 22 10 12 3
473 1 44 0 1 11 4.5 0 0 0 16 7 8 2
474 1 40 1 1 14 45 0 0 0 25 11 10 3
475 1 34 0 1 20 82.5 0 0 0 24 24 15 4
476 1 37 0 1 12 110 0 0 0 23 8 7 3
477 1 50 1 1 17 110 0 0 0 23 24 12 4
478 1 41 1 1 19 55 0 0 0 18 15 8 2
